Satan;49.1624;20.05395;MT;2422.0;2328
Roveň;49.01667;20.5;MT;619.0;619
Repisko;49.29184;20.19643;MT;1218.0;1218
Repisko;49.21922;20.65085;MT;1243.0;1243
Rabsztyn;49.39668;20.50632;MT;811.0;800
Poľana;49.3;20.38333;MT;764.0;764
Patria;49.15218;20.05859;MT;2203.0;2170
Patria;49.01976;20.88464;MT;1170.0;1170
Oslí Vrch;49.3367;20.71288;MT;852.0;852
Orlov;49.04951;20.41922;MT;802.0;802
Obšar;49.11351;20.68011;MT;1108.0;1108
Na Jedlinskej;49.0;20.1;MT;1002.0;1002
Murianek;49.27321;20.99037;MT;983.0;983
Muráň;49.25075;20.17858;MT;1890.0;1839
Minčol;49.23456;20.98881;MT;1157.0;1140
Marduňa;49.11025;20.9755;MT;867.0;867
Makoviska;49.33333;20.76667;MTS;556.0;556
Magura;49.07972;20.91434;MT;1053.0;1053
Macková;49.23776;20.60837;MT;984.0;984
Lomnický štít;49.19528;20.21326;MT;2634.0;2564
Levočské Vrchy;49.15;20.6;MTS;972.0;972
Ľadový štít;49.19818;20.18284;MT;2627.0;2558
Kuligura;49.19046;20.74382;MT;1236.0;1236
Krúžok;49.04882;20.65873;MT;971.0;971
Križový Vrch;49.0954;20.56159;MT;1075.0;1075
Krížova;49.01639;20.26498;MT;937.0;937
Krížna;49.01375;20.21457;MT;995.0;995
Krigovská Hora;49.26667;20.45;MT;798.0;798
Kozí Kameň;49.01608;20.1611;MT;1237.0;1237
Kovalová;49.14334;20.61558;MTS;1102.0;1102
Kolník;49.26592;20.60971;MT;881.0;881
Kňazova;49.20834;20.86606;MT;824.0;824
Javorinka;49.13255;20.75374;MT;1057.0;1057
Javorina;49.12484;20.61625;MT;1227.0;1227
Jahňací štít;49.21984;20.20828;MT;2230.0;2185
Ihla;49.18784;20.60488;MT;1268.0;1268
Hora;49.05;20.48333;MT;868.0;868
Holica;49.23865;20.11676;MT;1601.0;1601
Hoľa;49.06914;20.79178;MT;942.0;942
Eliaszówka;49.41667;20.65;MT;740.0;740
Hromovec;49.23069;20.76904;MT;894.0;883
Gerlachovský štít;49.16436;20.13369;MT;2655.0;2622
Čierny Kusec;49.16508;20.69966;MT;1216.0;1216
Čierna Hora;49.16387;20.8028;MT;1093.0;1093
Strelecká veža;49.18257;20.17978;MT;2130.0;2031
Bujačí vrch;49.23015;20.26548;MT;1950.0;1914
Brezová;49.05481;20.53131;MT;945.0;945
Branisko;49.08333;20.91667;MTS;1040.0;1040
Bradavica;49.17149;20.15519;MT;2476.0;2336
Brada;49.02194;20.01478;MT;1085.0;1085
Beskids;49.41667;20.25;MTS;766.0;766
Belianske Tatry;49.23333;20.25;MTS;1959.0;1959
Bachureň;49.09047;20.92255;MT;1081.0;1062
Babia Hora;49.05;20.81667;MTS;1725.0;810
Ostrá;49.1631;20.0213;MT;2351.0;2325
Holica - 828 m npm Pieniny;49.40795;20.4465;PK;828.0;809
Kozí štít;49.21681;20.21536;MT;2111.0;2037
Zmrzlá veža;49.21227;20.20231;MT;2312.0;2258
Kolový štít;49.21056;20.19905;MT;2418.0;2370
Ždiarska vidla;49.24506;20.20755;MT;2142.0;2086
Havran;49.24867;20.19751;MT;2152.0;2119
Hlúpy;49.23708;20.22064;MT;2061.0;2025
Čierny štit;49.20507;20.20158;MT;2425.0;2285
Baranie rohy;49.20159;20.19712;MT;2526.0;2470
